,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,41.69,21.69,87.00,24.10,85.99,0.76,0.00,0.76,27.27,13.83,6.00,14.07,42.59, 
456,0.67,0.00,0.67,40.57,21.69,72.00,23.68,85.31,0.76,0.00,0.76,29.53,13.83,6.00,14.07,27.97, 
789,0.67,0.00,0.67,40.79,21.71,73.00,23.73,85.43,0.76,0.00,0.76,24.57,13.83,6.00,14.07,29.98, 
101112,0.67,0.00,0.67,41.32,21.63,86.00,24.01,56.53,0.76,0.00,0.76,23.80,13.83,6.00,14.07,30.11, 
131415,0.67,0.00,0.67,40.79,22.02,67.00,23.87,84.49,0.76,0.00,0.76,28.36,10.87,98.00,14.63,19.09, 
,0.67,0.00,0.67,41.03,21.75,77.00,23.88,79.55,0.76,0.00,0.76,26.71,13.24,24.40,14.18,29.95,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,41.39,21.87,157.00,24.01,83.92,0.76,0.00,0.76,27.38,14.29,0.00,14.29,93.75, 
456,0.67,0.00,0.67,41.73,21.94,124.00,23.63,81.48,0.76,0.00,0.76,26.31,10.89,233.00,15.26,8.16, 
789,0.67,0.00,0.67,40.18,21.79,177.00,24.20,83.85,0.76,0.00,0.76,27.48,14.29,0.00,14.29,95.54, 
101112,0.67,0.00,0.67,35.09,21.95,148.00,23.97,83.15,0.76,0.00,0.76,25.86,10.89,234.00,15.27,8.02, 
131415,0.67,0.00,0.67,40.51,21.81,147.00,23.81,83.24,0.76,0.00,0.76,20.90,14.29,0.00,14.29,93.32, 
,0.67,0.00,0.67,39.78,21.87,150.60,23.92,83.13,0.76,0.00,0.76,25.59,12.93,93.40,14.68,59.76,
