,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,59.09,41.64,1499.00,83.10,75.67,0.76,0.00,0.76,50.16,13.83,6.00,14.07,93.57, 
456,0.67,0.00,0.67,60.81,42.77,1450.00,82.87,76.31,0.76,0.00,0.76,48.77,13.55,15.00,14.12,95.43, 
789,0.67,0.00,0.67,59.48,41.99,1408.00,80.93,75.53,0.76,0.00,0.76,49.39,13.83,6.00,14.07,93.83, 
101112,0.67,0.00,0.67,58.53,40.21,1455.00,80.45,78.03,0.76,0.00,0.76,48.89,13.83,6.00,14.07,94.20, 
131415,0.67,0.00,0.67,59.41,41.41,1422.00,80.73,76.76,0.76,0.00,0.76,48.47,13.83,6.00,14.07,93.06, 
,0.67,0.00,0.67,59.46,41.60,1446.80,81.62,76.46,0.76,0.00,0.76,49.14,13.78,7.80,14.08,94.02,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,61.05,41.17,2019.00,68.67,79.30,0.76,0.00,0.76,49.67,14.29,0.00,14.29,97.90, 
456,0.67,0.00,0.67,61.57,38.73,2479.00,72.49,77.77,0.76,0.00,0.76,48.44,14.29,0.00,14.29,96.25, 
789,0.67,0.00,0.67,60.94,40.25,2719.00,77.28,81.07,0.76,0.00,0.76,47.69,14.29,0.00,14.29,96.13, 
101112,0.67,0.00,0.67,61.51,39.66,2849.00,78.46,78.28,0.76,0.00,0.76,49.62,14.29,0.00,14.29,96.70, 
131415,0.67,0.00,0.67,59.35,37.50,2510.00,71.68,79.76,0.76,0.00,0.76,49.28,14.29,0.00,14.29,96.15, 
,0.67,0.00,0.67,60.88,39.46,2515.20,73.72,79.24,0.76,0.00,0.76,48.94,14.29,0.00,14.29,96.62,
