,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.669304949371126,0,0.669304949371126,9.96674274100042,22.1024899599748,158,26.4719912082267,94.0909187500001,0.757315295504047,0,0.757315295504047,8.4545687890004,13.8349823643597,6,14.0651686654563,33.638587925001, 
456,0.669304949371126,0,0.669304949371126,9.90451996499905,22.8303424857478,101,25.6235046760861,86.0960392889992,0.757315295504047,0,0.757315295504047,7.56892393199996,13.8349823643597,6,14.0651686654563,32.4554693759983, 
789,0.669304949371126,0,0.669304949371126,10.5296026259985,23.680012862527,114,26.8326909783544,88.3489928350009,0.757315295504047,0,0.757315295504047,7.89629901700027,13.8349823643597,6,14.0651686654563,30.3771234219985, 
101112,0.669304949371126,0,0.669304949371126,10.7645384429998,22.5504805805857,155,26.8370166152632,85.5665692009989,0.757315295504047,0,0.757315295504047,8.3339669299985,13.8349823643597,6,14.0651686654563,30.9320916750003, 
131415,0.669304949371126,0,0.669304949371126,10.1251649400001,23.0511927887057,142,26.9782128978942,90.0249889989991,0.757315295504047,0,0.757315295504047,7.66600741799994,13.8349823643597,6,14.0651686654563,29.7416678669997, 
,0.669304949371126,0,0.669304949371126,10.2581137429996,22.8429037355082,134,26.5486832751649,88.8255018147997,0.757315295504047,0,0.757315295504047,7.98395321719981,13.8349823643597,6,14.0651686654563,31.4289880529996,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.669304949371126,0,0.669304949371126,9.98067902500043,22.2201706036417,167,24.4943811929098,91.957502240999,0.757315295504047,0,0.757315295504047,8.41678505799973,14.2870705565148,0,14.2870705565148,24.8277598189998, 
456,0.669304949371126,0,0.669304949371126,9.67757723300019,22.5491438406182,142,24.4829037428701,92.2279962069988,0.757315295504047,0,0.757315295504047,7.7644226400007,14.2870705565148,0,14.2870705565148,26.0265318070014, 
789,0.669304949371126,0,0.669304949371126,10.2555437009996,22.7947753483937,161,24.9872777727778,95.8145330339994,0.757315295504047,0,0.757315295504047,7.89262535299895,14.2870705565148,0,14.2870705565148,26.7127278900007, 
101112,0.669304949371126,0,0.669304949371126,10.4519291110009,22.5370187663525,127,24.2665082563947,91.6809397889992,0.757315295504047,0,0.757315295504047,8.10740461299974,14.2870705565148,0,14.2870705565148,26.2131211409996, 
131415,0.669304949371126,0,0.669304949371126,9.66485364000073,22.1220671891156,159,24.2873335585385,91.4365601480004,0.757315295504047,0,0.757315295504047,7.88929255499897,14.2870705565148,0,14.2870705565148,31.1402183049995, 
,0.669304949371126,0,0.669304949371126,10.0061165420004,22.4446351496243,151.2,24.5036809046982,92.6235062837994,0.757315295504047,0,0.757315295504047,8.01410604379962,14.2870705565148,0,14.2870705565148,26.9840717924002,
