,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 31.569936517000315, 21.88537611960336, 77.0, 24.014816601346393, 37.49440951100041, 0.7573152955040469, 0.0, 0.7573152955040469, 29.97510134699769, 13.834982364359718, 6.0, 14.065168665456252, 57.012366357001156, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 30.595487001999572, 23.92474343775256, 78.0, 26.08183899068706, 36.9452856099997, 0.7573152955040469, 0.0, 0.7573152955040469, 27.083991475999937, 13.834982364359718, 6.0, 14.065168665456252, 57.22353645199837, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 31.608427469000162, 24.12625584403827, 81.0, 26.366316610547173, 38.38831743999981, 0.7573152955040469, 0.0, 0.7573152955040469, 28.098881376001373, 13.834982364359718, 6.0, 14.065168665456252, 55.34251739799947, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 31.51070019999679, 22.15217262538362, 89.0, 24.61347396142427, 39.82174520999979, 0.7573152955040469, 0.0, 0.7573152955040469, 27.708397649003018, 13.834982364359718, 6.0, 14.065168665456252, 58.18172902399965, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 30.13276439299807, 24.641019370949778, 116.0, 27.84900762916006, 36.580290181002056, 0.7573152955040469, 0.0, 0.7573152955040469, 28.103674450001563, 13.834982364359718, 6.0, 14.065168665456252, 54.99292826499732, 



,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 30.557088191999355, 24.10026507401994, 157.0, 26.238295388481536, 38.49348612999893, 0.7573152955040469, 0.0, 0.7573152955040469, 28.824417257001187, 14.287070556514763, 0.0, 14.287070556514763, 85.64448913100205, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 30.627539713997976, 22.410513671048385, 190.0, 24.997938892371334, 40.05677166700116, 0.7573152955040469, 0.0, 0.7573152955040469, 28.24945193899839, 14.287070556514763, 0.0, 14.287070556514763, 75.63054658399778, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 30.509327625997685, 22.857296924963933, 219.0, 25.839644943225647, 40.365108120000514, 0.7573152955040469, 0.0, 0.7573152955040469, 26.444048304998432, 14.287070556514763, 0.0, 14.287070556514763, 82.3815269930019, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 31.281151316001342, 22.187051722896147, 186.0, 24.720004834296507, 40.40566999600196, 0.7573152955040469, 0.0, 0.7573152955040469, 30.07736182199733, 14.287070556514763, 0.0, 14.287070556514763, 72.35747708599956, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 31.061532818999694, 21.99623189139397, 162.0, 24.2023523432588, 39.71283395900173, 0.7573152955040469, 0.0, 0.7573152955040469, 30.744155552998564, 14.287070556514763, 0.0, 14.287070556514763, 83.35561961400163, 



