,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,1.54,340.00,3.85,60.28,45.31,1814.00,95.48,75.82,2.71,447.00,6.16,49.79,12.91,1138.00,56.56,88.51, 
456,1.84,414.00,4.66,57.82,45.18,1808.00,95.18,75.60,2.65,420.00,5.89,46.98,13.09,1123.00,56.17,87.69, 
789,1.74,425.00,4.63,57.75,45.95,1796.00,95.62,75.65,2.53,431.00,5.86,47.29,13.21,1119.00,56.14,88.42, 
101112,1.64,404.00,4.39,59.17,45.84,1793.00,95.42,76.92,2.64,431.00,5.97,46.92,13.08,1112.00,55.74,88.59, 
131415,1.87,401.00,4.60,59.46,45.84,1770.00,94.79,75.14,2.54,412.00,5.72,46.55,13.22,1104.00,55.58,90.38, 
,1.73,396.80,4.43,58.89,45.62,1796.20,95.30,75.83,2.61,428.20,5.92,47.51,13.10,1119.20,56.04,88.72,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,1.73,850.00,4.51,58.41,45.80,3566.00,94.36,77.97,2.51,851.00,5.68,48.26,12.86,2302.00,55.95,91.39, 
456,1.58,774.00,4.12,58.60,45.82,3591.00,94.72,77.99,2.46,830.00,5.55,48.04,12.95,2282.00,55.67,92.27, 
789,1.66,876.00,4.54,59.66,45.55,3599.00,94.56,76.95,2.55,837.00,5.67,47.99,13.30,2279.00,55.96,90.61, 
101112,1.81,901.00,4.76,60.81,45.81,3576.00,94.51,78.41,2.52,843.00,5.66,51.16,13.04,2275.00,55.63,91.51, 
131415,1.82,886.00,4.73,58.77,45.72,3601.00,94.76,78.88,2.68,899.00,6.03,49.20,13.14,2284.00,55.89,92.21, 
,1.72,857.40,4.53,59.25,45.74,3586.60,94.58,78.04,2.54,852.00,5.72,48.93,13.06,2284.40,55.82,91.60,
