,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,23.56,22.56,71.00,24.53,102.40,0.76,0.00,0.76,23.98,13.83,6.00,14.07,103.36, 
456,0.67,0.00,0.67,18.81,22.00,66.00,23.83,97.12,0.76,0.00,0.76,25.03,13.83,6.00,14.07,95.98, 
789,0.67,0.00,0.67,20.75,22.17,80.00,24.39,98.74,0.76,0.00,0.76,26.77,13.83,6.00,14.07,100.02, 
101112,0.67,0.00,0.67,23.00,22.28,63.00,24.02,99.73,0.76,0.00,0.76,23.64,13.83,6.00,14.07,103.41, 
131415,0.67,0.00,0.67,22.76,22.59,58.00,24.20,94.53,0.76,0.00,0.76,23.53,13.83,6.00,14.07,106.96, 
,0.67,0.00,0.67,21.78,22.32,67.60,24.19,98.50,0.76,0.00,0.76,24.59,13.83,6.00,14.07,101.95,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,23.09,21.94,164.00,24.18,101.42,0.76,0.00,0.76,26.01,14.29,0.00,14.29,103.27, 
456,0.67,0.00,0.67,18.99,21.82,149.00,23.85,96.97,0.76,0.00,0.76,24.12,14.29,0.00,14.29,88.37, 
789,0.67,0.00,0.67,24.32,22.24,138.00,24.12,106.06,0.76,0.00,0.76,26.31,14.29,0.00,14.29,100.70, 
101112,0.67,0.00,0.67,24.07,21.97,156.00,24.09,106.26,0.76,0.00,0.76,23.30,14.29,0.00,14.29,102.04, 
131415,0.67,0.00,0.67,21.70,21.89,154.00,23.99,97.97,0.76,0.00,0.76,23.89,13.83,25.00,14.30,95.14, 
,0.67,0.00,0.67,22.43,21.97,152.20,24.05,101.74,0.76,0.00,0.76,24.72,14.20,5.00,14.29,97.90,
