,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,6.16,21.49,87.00,23.89,97.57,0.76,0.00,0.76,4.70,10.81,98.00,14.56,21.16, 
456,0.67,0.00,0.67,6.27,21.29,86.00,23.67,96.04,0.76,0.00,0.76,5.04,10.88,97.00,14.60,17.38, 
789,0.67,0.00,0.67,5.67,21.54,80.00,23.75,98.52,0.76,0.00,0.76,5.17,13.83,6.00,14.07,15.29, 
101112,0.67,0.00,0.67,6.63,21.28,86.00,23.66,99.62,0.76,0.00,0.76,5.15,13.83,6.00,14.07,15.86, 
131415,0.67,0.00,0.67,6.30,22.06,54.00,23.56,94.68,0.76,0.00,0.76,5.23,10.87,96.00,14.56,20.01, 
,0.67,0.00,0.67,6.20,21.53,78.60,23.71,97.28,0.76,0.00,0.76,5.06,12.05,60.60,14.37,17.94,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,6.05,21.97,115.00,23.53,94.85,0.76,0.00,0.76,5.13,10.88,229.00,15.17,22.18, 
456,0.67,0.00,0.67,6.71,21.99,119.00,23.61,98.22,0.76,0.00,0.76,5.06,10.78,233.00,15.14,18.74, 
789,0.67,0.00,0.67,6.00,21.76,129.00,23.52,102.20,0.76,0.00,0.76,4.98,14.29,0.00,14.29,15.30, 
101112,0.67,0.00,0.67,5.60,22.08,113.00,23.62,106.25,0.76,0.00,0.76,4.77,14.29,0.00,14.29,17.21, 
131415,0.67,0.00,0.67,6.47,22.04,123.00,23.72,104.83,0.76,0.00,0.76,5.00,10.88,229.00,15.17,17.81, 
,0.67,0.00,0.67,6.17,21.97,119.80,23.60,101.27,0.76,0.00,0.76,4.99,12.22,138.20,14.81,18.25,
