,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,25.14,21.74,78.00,23.90,91.55,0.76,0.00,0.76,23.37,13.83,6.00,14.07,90.68, 
456,0.67,0.00,0.67,25.54,21.81,71.00,23.77,93.99,0.76,0.00,0.76,19.74,13.83,6.00,14.07,97.28, 
789,0.67,0.00,0.67,24.58,21.44,98.00,24.15,91.21,0.76,0.00,0.76,21.46,13.83,6.00,14.07,96.68, 
101112,0.67,0.00,0.67,26.10,21.65,91.00,24.17,92.28,0.76,0.00,0.76,23.40,13.83,6.00,14.07,98.66, 
131415,0.67,0.00,0.67,26.48,21.74,76.00,23.84,92.88,0.76,0.00,0.76,22.73,13.83,6.00,14.07,90.95, 
,0.67,0.00,0.67,25.57,21.68,82.80,23.97,92.38,0.76,0.00,0.76,22.14,13.83,6.00,14.07,94.85,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.67,0.00,0.67,26.23,21.87,141.00,23.79,96.88,0.76,0.00,0.76,21.87,14.29,0.00,14.29,102.32, 
456,0.67,0.00,0.67,25.37,22.00,157.00,24.14,94.86,0.76,0.00,0.76,24.05,14.29,0.00,14.29,102.70, 
789,0.67,0.00,0.67,25.84,21.88,157.00,24.02,98.16,0.76,0.00,0.76,20.05,14.29,0.00,14.29,102.46, 
101112,0.67,0.00,0.67,25.21,21.73,169.00,24.03,97.28,0.76,0.00,0.76,21.73,14.29,0.00,14.29,101.16, 
131415,0.67,0.00,0.67,24.63,19.57,268.00,23.22,94.55,0.76,0.00,0.76,20.04,14.29,0.00,14.29,100.58, 
,0.67,0.00,0.67,25.45,21.41,178.40,23.84,96.35,0.76,0.00,0.76,21.55,14.29,0.00,14.29,101.85,
