,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 9.966742741000417, 22.10248995997477, 158.0, 26.471991208226704, 94.09091875000013, 0.7573152955040469, 0.0, 0.7573152955040469, 8.454568789000405, 13.834982364359718, 6.0, 14.065168665456252, 33.63858792500105, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 9.904519964999054, 22.83034248574782, 101.0, 25.623504676086082, 86.09603928899924, 0.7573152955040469, 0.0, 0.7573152955040469, 7.5689239319999615, 13.834982364359718, 6.0, 14.065168665456252, 32.45546937599829, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 10.52960262599845, 23.680012862527025, 114.0, 26.83269097835437, 88.3489928350009, 0.7573152955040469, 0.0, 0.7573152955040469, 7.896299017000274, 13.834982364359718, 6.0, 14.065168665456252, 30.377123421998476, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 10.764538442999765, 22.55048058058568, 155.0, 26.837016615263213, 85.56656920099886, 0.7573152955040469, 0.0, 0.7573152955040469, 8.333966929998496, 13.834982364359718, 6.0, 14.065168665456252, 30.932091675000265, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 10.125164940000104, 23.051192788705734, 142.0, 26.97821289789418, 90.0249889989991, 0.7573152955040469, 0.0, 0.7573152955040469, 7.666007417999936, 13.834982364359718, 6.0, 14.065168665456252, 29.741667866999705, 



,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 9.980679025000427, 22.220170603641698, 167.0, 24.494381192909763, 91.95750224099902, 0.7573152955040469, 0.0, 0.7573152955040469, 8.416785057999732, 14.287070556514763, 0.0, 14.287070556514763, 24.827759818999766, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 9.677577233000193, 22.54914384061817, 142.0, 24.482903742870057, 92.2279962069988, 0.7573152955040469, 0.0, 0.7573152955040469, 7.764422640000703, 14.287070556514763, 0.0, 14.287070556514763, 26.026531807001447, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 10.255543700999624, 22.794775348393664, 161.0, 24.987277772777844, 95.8145330339994, 0.7573152955040469, 0.0, 0.7573152955040469, 7.892625352998948, 14.287070556514763, 0.0, 14.287070556514763, 26.71272789000068, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 10.451929111000936, 22.537018766352492, 127.0, 24.266508256394673, 91.68093978899924, 0.7573152955040469, 0.0, 0.7573152955040469, 8.107404612999744, 14.287070556514763, 0.0, 14.287070556514763, 26.213121140999647, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 9.664853640000729, 22.122067189115647, 159.0, 24.287333558538535, 91.43656014800035, 0.7573152955040469, 0.0, 0.7573152955040469, 7.889292554998974, 14.287070556514763, 0.0, 14.287070556514763, 31.140218304999507, 



