,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 6.156555092000417, 21.485413938639724, 87.0, 23.891405132297436, 97.56893343100091, 0.7573152955040469, 0.0, 0.7573152955040469, 4.69908145699992, 10.805040899971317, 98.0, 14.564750484548032, 21.157164357999136, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 6.266592384999967, 21.291727697977745, 86.0, 23.67006382044399, 96.03595680199942, 0.7573152955040469, 0.0, 0.7573152955040469, 5.035124177000398, 10.879732740667002, 97.0, 14.601077941727628, 17.37825034799971, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 5.667438669999683, 21.54161005576774, 80.0, 23.754015751085177, 98.51828110300085, 0.7573152955040469, 0.0, 0.7573152955040469, 5.169515359000798, 13.834982364359718, 6.0, 14.065168665456252, 15.286409486001503, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 6.628049066999665, 21.281100842613725, 86.0, 23.65943696507997, 99.62110661100087, 0.7573152955040469, 0.0, 0.7573152955040469, 5.154981976000272, 13.834982364359718, 6.0, 14.065168665456252, 15.860402735999742, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 6.30388271099946, 22.062125528340907, 54.0, 23.555499372680178, 94.6788427169995, 0.7573152955040469, 0.0, 0.7573152955040469, 5.232308415999796, 10.87351999884227, 96.0, 14.556500816386805, 20.013795688000755, 



,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 6.050856364001447, 21.96687967122253, 115.0, 23.532952831496946, 94.84942116999991, 0.7573152955040469, 0.0, 0.7573152955040469, 5.134450715000639, 10.879732740667002, 229.0, 15.16638803981393, 22.184088116000567, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 6.714797385999191, 21.99393141069467, 119.0, 23.614476680891677, 98.21575877299983, 0.7573152955040469, 0.0, 0.7573152955040469, 5.055873616000099, 10.782003577459058, 233.0, 15.143534951700254, 18.74019461700118, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 5.996342213999014, 21.764978089787355, 129.0, 23.521703634790832, 102.19787771499978, 0.7573152955040469, 0.0, 0.7573152955040469, 4.975111730000208, 14.287070556514763, 0.0, 14.287070556514763, 15.297144724998361, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 5.601329161998365, 22.083516815292086, 113.0, 23.622353920605207, 106.25286383400089, 0.7573152955040469, 0.0, 0.7573152955040469, 4.773144527000113, 14.287070556514763, 0.0, 14.287070556514763, 17.205278007000743, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 6.4730471830007446, 22.042077625545353, 123.0, 23.717095005664945, 104.83041644100012, 0.7573152955040469, 0.0, 0.7573152955040469, 4.997730900000533, 10.879732740667002, 229.0, 15.16638803981393, 17.808788025000467, 



